,Name,Sex upon Outcome,Adopt,Age_days,Sex,cfa_breed,coat_pattern,pattern,Cat_Kitten_Neonatal
43038,0,Neutered Male,1,369,Male,0,no pattern,0,Adult
43039,0,Intact Female,0,6,Female,0,tortie,1,Neonatal
43040,1,Neutered Male,1,6271,Male,0,no pattern,0,Adult
43041,0,Intact Female,0,734,Female,0,no pattern,0,Adult
43042,1,Neutered Male,1,73,Male,0,tabby,1,Kitten
43043,1,Intact Female,0,15,Female,0,tabby,1,Neonatal
43044,1,Neutered Male,1,1096,Male,1,point,1,Adult
43045,1,Spayed Female,1,3658,Female,0,tortie,1,Adult
43046,0,Intact Male,0,15,Male,0,tabby,1,Neonatal
43047,1,Neutered Male,1,119,Male,0,no pattern,0,Kitten
43048,0,Intact Female,1,1829,Female,0,tabby,1,Adult
43049,1,Intact Female,0,577,Female,0,no pattern,0,Adult
43050,1,Spayed Female,1,1268,Female,0,tabby,1,Adult
43051,0,Intact Female,0,186,Female,0,no pattern,0,Kitten
43052,1,Intact Male,0,34,Male,0,tabby,1,Neonatal
43053,1,Spayed Female,1,78,Female,0,tabby,1,Kitten
43054,1,Neutered Male,1,56,Male,0,no pattern,0,Kitten
43055,0,Neutered Male,1,105,Male,0,tabby,1,Kitten
43056,1,Spayed Female,1,82,Female,0,no pattern,0,Kitten
43057,0,Intact Male,0,186,Male,1,no pattern,0,Kitten
43058,1,Neutered Male,1,750,Male,0,no pattern,0,Adult
43059,0,Neutered Male,1,149,Male,0,tabby,1,Kitten
43060,1,Intact Male,0,64,Male,0,tabby,1,Kitten
43061,0,Spayed Female,1,83,Female,0,no pattern,0,Kitten
43062,1,Spayed Female,1,94,Female,0,calico,1,Kitten
43063,0,Intact Male,0,123,Male,0,tabby,1,Kitten
43064,0,Intact Female,0,31,Female,0,torbie,1,Neonatal
43065,0,Intact Female,0,22,Female,0,tabby,1,Neonatal
43066,1,Neutered Male,1,3780,Male,0,tabby,1,Adult
